player_key,name,week,position,team_key,team_name,started,nfl_team,points,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Return Touchdowns,2-Point Conversions,Fumbles Lost,Field Goals 0-19 Yards,Field Goals 20-29 Yards,Field Goals 30-39 Yards,Field Goals 40-49 Yards,Field Goals 50+ Yards,Field Goals Missed 0-19 Yards,Field Goals Missed 20-29 Yards,Point After Attempt Made,Point After Attempt Missed,Points Allowed,Sack,Interception,Fumble Recovery,Touchdown,Safety,Block Kick,Kickoff and Punt Return Touchdowns,4th Down Stops,Points Allowed 0 points,Points Allowed 1-6 points,Points Allowed 7-13 points,Points Allowed 14-20 points,Points Allowed 21-27 points,Points Allowed 28-34 points,Points Allowed 35+ points,Extra Point Returned
390.p.26671,Le'Veon Bell,1,RB,390.l.99174.t.2,Champ,True,NYJ,20.2,0.0,0.0,0.0,17.0,60.0,0.0,9.0,6.0,32.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.30256,Marlon Mack,1,RB,390.l.99174.t.2,Champ,True,Ind,30.4,0.0,0.0,0.0,25.0,174.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.7924,Delanie Walker,1,TE,390.l.99174.t.2,Champ,True,Ten,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,55.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.25755,Alshon Jeffery,1,WR,390.l.99174.t.2,Champ,True,Phi,19.6,0.0,0.0,0.0,1.0,2.0,1.0,7.0,5.0,49.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.27538,Eric Ebron,1,TE,390.l.99174.t.2,Champ,False,Pit,1.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31029,Derrius Guice,1,RB,390.l.99174.t.2,Champ,False,Was,5.3,0.0,0.0,0.0,10.0,18.0,0.0,3.0,3.0,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.24057,Emmanuel Sanders,1,WR,390.l.99174.t.2,Champ,False,NO,17.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,86.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.8795,Joe Flacco,1,QB,390.l.99174.t.2,Champ,False,NYJ,11.76,268.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.27618,Donte Moncrief,1,WR,390.l.99174.t.2,Champ,False,Car,2.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.26534,Justin Tucker,1,K,390.l.99174.t.2,Champ,True,Bal,11.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,
390.p.100014,Los Angeles,1,DEF,390.l.99174.t.2,Champ,True,LAR,9.0,,,,,,,,,,,,,,,,,,,,,,,27.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
390.p.30971,Baker Mayfield,1,QB,390.l.99174.t.3,Bottom Bitches,True,Cle,6.14,285.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.5228,Tom Brady,1,QB,390.l.99174.t.3,Bottom Bitches,True,TB,21.74,341.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.27540,Odell Beckham Jr.,1,WR,390.l.99174.t.3,Bottom Bitches,True,Cle,10.6,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,71.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.9496,Julian Edelman,1,WR,390.l.99174.t.3,Bottom Bitches,True,NE,13.01,32.0,0.0,0.0,1.0,8.0,0.0,11.0,6.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.28691,Tyrell Williams,1,WR,390.l.99174.t.3,Bottom Bitches,True,LV,21.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,105.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31001,Sony Michel,1,RB,390.l.99174.t.3,Bottom Bitches,True,NE,1.4,0.0,0.0,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.29238,Ezekiel Elliott,1,RB,390.l.99174.t.3,Bottom Bitches,True,Dal,12.8,0.0,0.0,0.0,13.0,53.0,1.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.30132,O.J. Howard,1,TE,390.l.99174.t.3,Bottom Bitches,True,TB,2.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,32.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31905,David Montgomery,1,RB,390.l.99174.t.3,Bottom Bitches,True,Chi,5.0,0.0,0.0,0.0,6.0,18.0,0.0,1.0,1.0,27.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.24171,Antonio Brown,1,WR,390.l.99174.t.3,Bottom Bitches,False,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31833,Kyler Murray,1,QB,390.l.99174.t.3,Bottom Bitches,False,Ari,18.1,308.0,2.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31945,Justice Hill,1,RB,390.l.99174.t.3,Bottom Bitches,False,Bal,2.7,0.0,0.0,0.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31030,James Washington,1,WR,390.l.99174.t.3,Bottom Bitches,False,Pit,6.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,51.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.27619,John Brown,1,WR,390.l.99174.t.3,Bottom Bitches,False,Buf,23.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,123.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.27369,Brett Maher,1,K,390.l.99174.t.3,Bottom Bitches,True,NYJ,5.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,
390.p.100021,Philadelphia,1,DEF,390.l.99174.t.3,Bottom Bitches,True,Phi,1.0,,,,,,,,,,,,,,,,,,,,,,,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
390.p.30123,Patrick Mahomes,1,QB,390.l.99174.t.4,Hareem Kunt,True,KC,26.0,378.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.6770,Ben Roethlisberger,1,QB,390.l.99174.t.4,Hareem Kunt,True,Pit,6.59,276.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
